	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL
Assembly	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10
LGA50	144	10	9	310	310	8	6	3	5	101	101	3	49	3	6	4		4	27	20	18	82		23	373	16	42	42		23	343	42	55	369		28
LA90	264	22	23	1500	1503	19	20	6	11	397	400	5	207	19	35	29		18	110	67	59	461	3	82	1203	46	139	151		72	1423	546	522	1783		555
LGA90	264	22	23	1497	1497	19	20	6	11	395	396	5	208	20	35	29		18	110	67	59	460		82	1204	46	139	151		72	1423	546	522	1783		560
																																				
																																				
	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	HG002.B10M	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	AT.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	Dro.DtoL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	AG.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	Vul.DToL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL	BP.DtoL
	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10	Input	YaHS	Pin_hic	3DDNA.FINAL	AutoHic	SPA-C.MR10
Rank NGA50		3	2	4	4	1		2	3	4	4	1		1	5	3	5	2		2	1	4	5	3		1	3	4	5	2		2	3	4	5	1
Rank NGA90		2	3	4	4	1		2	3	4	4	1		2	3	4	5	1		3	1	4	5	2		1	3	4	5	2		2	1	4	5	3
Rank auNGA		2	3	5	4	1		2	3	4	5	1		1	4	3	5	2		2	1	4	5	3		1	3	4	5	2		2	3	4	5	1
Rank #Misassemblies		3	2	4	4	1		3	2	4	5	1		2	3	4	5	1		3	1	4	5	2		3	1	4	5	2		5	1	3	5	2
Sum		10	10	17	16	4		9	11	16	18	4		6	15	14	20	6		10	4	16	20	10		6	10	16	20	8		11	8	15	20	7
																																				
Average Rank		2,5	2,5	4,3	4	1		2,25	2,75	4	4,5	1		1,5	3,75	3,5	5	1,5		2,5	1	4	5	2,5		1,5	2,5	4	5	2		2,75	2	3,75	5	1,75
